"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","fraud_label"
26841967,"Unique: Townhouse in the city centre of Amsterdam",86294514,"Anatal",NA,"Centrum-Oost",52.3639196051317,4.90058939924675,"Entire home/apt",250,3,4,"2018-10-27",1.03,1,2,1
26842663,"detached villa, unique design",62805884,"Tjerk",NA,"Gaasperdam - Driemond",52.3079024637725,5.01830253265564,"Entire home/apt",275,6,1,"2018-08-19",0.27,1,7,0
26842769,"Habitación en Amsterdam",148372339,"Jackeline",NA,"Geuzenveld - Slotermeer",52.3806200774337,4.83785031685612,"Private room",63,1,0,"",NA,1,362,0
26854143,"Amsterdam familyhouse; free parking",28011619,"Maaike",NA,"Oud-Noord",52.3994879364118,4.9209142735474,"Entire home/apt",200,4,1,"2018-07-18",0.21,1,0,0
26857386,"Beautiful City Center APT I Stunning ROOF TERRACE",33348654,"Barry",NA,"De Baarsjes - Oud-West",52.3662431988076,4.86562728864249,"Entire home/apt",87,2,6,"2018-08-14",1.43,1,0,0
26858674,"comfortable and bright appartment",202002922,"Tiny",NA,"Centrum-West",52.3710263467414,4.87677100942672,"Entire home/apt",150,2,6,"2018-11-25",2.17,1,321,0
26861621,"Beautiful, recently renovated apt. in great area",202023882,"Lyor",NA,"Zuid",52.346428404607,4.8607785059667,"Entire home/apt",160,3,1,"2018-10-23",0.67,1,0,1
26864005,"Rooftop Apartment near Airport",11969034,"Raul",NA,"De Aker - Nieuw Sloten",52.3459626610951,4.8073332142236,"Entire home/apt",124,4,3,"2018-08-21",0.73,24,17,0
26867093,"Nice room, In the Jordan",61937453,"Gareth",NA,"Centrum-West",52.3708838505622,4.87609045481459,"Private room",88,3,1,"2018-10-13",0.55,1,0,0
26873529,"Amsterdam Stay Apartment 1708",329249,"Emmett",NA,"Centrum-West",52.3737070406689,4.89911416187234,"Entire home/apt",415,3,0,"",NA,11,229,0
26879765,"Cosy apartment next to Vondelpark",27323708,"Birre",NA,"De Baarsjes - Oud-West",52.3618658341374,4.86715034973494,"Entire home/apt",130,2,4,"2018-11-06",1.17,1,0,0
26880351,"Spacious room in cozy apartment",202189822,"Melina",NA,"De Baarsjes - Oud-West",52.3708951238327,4.85503997311507,"Private room",70,3,22,"2018-11-19",4.71,2,151,0
26883850,"Amsterdam Ijburg Canal",103283385,"Ekaterina",NA,"IJburg - Zeeburgereiland",52.345647703446,5.00995396471161,"Entire home/apt",190,7,0,"",NA,1,226,0
26884221,"Comfortable apartment next to RAI Amsterdam",87232993,"Matthijs",NA,"De Pijp - Rivierenbuurt",52.3451701298306,4.88731047717605,"Entire home/apt",225,3,3,"2018-11-15",1.11,1,334,0
26884936,"Modern and light appt Amsterdam The Southern part",32128876,"Tina",NA,"Zuid",52.3510202415068,4.84857390613833,"Entire home/apt",175,3,6,"2018-11-18",2.25,1,70,0
26885255,"Top floor apartment stones throw from the Jordaan",101013059,"Alexander",NA,"Westerpark",52.3768687593288,4.87453924365496,"Entire home/apt",140,2,9,"2018-11-18",2.62,1,65,1
26885350,"Canalhouse 150m2 amazing view with private garden",202228575,"Juliette",NA,"Oud-Oost",52.3652392392224,4.92785879408278,"Entire home/apt",275,2,15,"2018-11-25",3.63,1,245,0
26886222,"Private Hidden Gem, Close to canals + FREE Parking",5607512,"Eric",NA,"De Baarsjes - Oud-West",52.3673964860512,4.86164869245047,"Entire home/apt",225,3,5,"2018-09-16",1.25,1,11,0
26891406,"Sunny 1 bed apartment with park and canal view",22952312,"Katie",NA,"Bos en Lommer",52.3765463224481,4.85400000493331,"Entire home/apt",85,2,4,"2018-11-25",1.03,1,4,0
26892677,"Private room 25 min away from museum district",19163028,"Laszlo",NA,"Noord-Oost",52.3958145787257,4.93582350370068,"Private room",41,3,4,"2018-12-05",1.97,3,0,0
26893342,"Cozy room in tiny house",162790886,"Billy",NA,"Westerpark",52.3740294691981,4.87049109362627,"Private room",110,2,20,"2018-11-26",4.58,1,24,0
26894328,"Amsterdam Stay Jordaan Studio 1641",329249,"Emmett",NA,"Centrum-West",52.3741426447481,4.88244207832594,"Entire home/apt",160,4,1,"2018-10-26",0.71,11,125,1
26896075,"Luxury family house",9866740,"Mirjana",NA,"Zuid",52.3446211044948,4.87079573939735,"Entire home/apt",250,1,1,"2018-10-25",0.7,1,30,0
26896632,"Nice room with amazing view over the Amstel",84195673,"Christel",NA,"Watergraafsmeer",52.3464078134081,4.91460769998072,"Entire home/apt",80,2,2,"2018-10-14",0.88,2,176,0
26904428,"Spacious, bright and quiet apartment with balcony",125539781,"Lieke",NA,"De Baarsjes - Oud-West",52.3630001176608,4.85434521654191,"Entire home/apt",130,1,1,"2018-10-28",0.75,1,23,0
26906184,"Amsterdam Centre Appartment (with garden)",202427682,"Daan",NA,"Oud-Oost",52.3495924797437,4.91360834308047,"Entire home/apt",73,1,6,"2018-10-20",1.25,1,0,0
26909786,"Amsterdam family home with sunny garden and bikes",64652273,"Lucy",NA,"Buitenveldert - Zuidas",52.3417548728078,4.87021446446372,"Entire home/apt",250,3,5,"2018-08-27",1.19,1,5,0
26911967,"Amsterdam Houseboat For 2",131911468,"Pedja&Nina",NA,"Centrum-Oost",52.3721592452597,4.90875266080114,"Entire home/apt",220,1,4,"2018-11-02",0.97,6,364,0
26912817,"Monumental Stay",202480072,"Lars",NA,"Centrum-Oost",52.3659674588207,4.89196007245922,"Private room",145,1,2,"2018-11-03",0.92,2,152,0
26914484,"Bright, Colourful and Comfortable home",14161033,"Jose",NA,"Noord-West",52.4197595327291,4.90664527378686,"Entire home/apt",130,2,2,"2018-08-19",0.51,1,0,0
26918364,"Dikehouse near citycenter in rural landscape",21077937,"Hanneke",NA,"Noord-Oost",52.3866162123028,4.95608748478867,"Entire home/apt",135,4,0,"",NA,2,96,0
26919409,"Cosy appt. Amsterdam South near the Amstel & RAI",4975175,"Swaen",NA,"De Pijp - Rivierenbuurt",52.3415360619495,4.91169704768916,"Entire home/apt",150,3,2,"2018-10-23",0.68,1,95,0
26920263,"Light and Spacious Apartment with Roof Terrace",136347262,"Lisanne",NA,"De Baarsjes - Oud-West",52.360524867188,4.86383138912865,"Entire home/apt",138,4,4,"2018-10-21",0.97,1,18,0
26931465,"Fully equiped appartment with great terras!",4658633,"Stephanie",NA,"De Baarsjes - Oud-West",52.3677803972179,4.86444639260563,"Entire home/apt",110,2,6,"2018-11-25",1.54,1,2,0
26933070,"Canalside 2 bedroom apartment with balcony",15798543,"Grace",NA,"Oud-Oost",52.3528043953497,4.92194060111005,"Entire home/apt",120,2,3,"2018-10-15",0.83,1,0,0
26933160,"Modern, spacious industrial apartment",48001513,"Stef",NA,"Bos en Lommer",52.3760445709381,4.83677829907265,"Entire home/apt",125,1,8,"2018-09-24",1.94,1,111,0
26935735,"Amsterdam Home with a Windmill View",162245594,"Kasia",NA,"Westerpark",52.3760481461132,4.87220899449196,"Entire home/apt",100,2,8,"2018-09-29",1.68,1,0,0
26936908,"comfortable apt. 10mins walking from Rai & musea",42286632,"Frouke",NA,"De Pijp - Rivierenbuurt",52.3486428922712,4.88872776875201,"Entire home/apt",130,2,8,"2018-11-06",1.8,1,121,0
